Thorlabs Shack-Hartmann Wavefront Sensor

Model                  ,       WFS31-5C
Serial Number          ,       M00987470

Date MM-DD-YYYY        ,       06-24-2024
Time HH:MM:SS          ,       13:38:06


*** CAMERA ***
Camera Type            ,       Thorlabs WFS31
Camera SN              ,       4108627258
Resolution X           ,       1024
Resolution Y           ,       1024
Exposure Time [ms]     ,       0.031
Master Gain            ,       1.000
Averages               ,       1
Average Type           ,       Normal


*** BEAM ***
Beam Center X [mm]     ,      -0.021
Beam Center Y [mm]     ,       0.043
Beam Diameter X [mm]   ,       3.487
Beam Diameter Y [mm]   ,       3.470


*** PUPIL ***
Circular               ,       0
Use Beam Centroid      ,       0
Use Beam Dia           ,       0
Wavefront Calc In Pupil,       0
Pupil Diameter X [mm]  ,       4.928
Pupil Diameter Y [mm]  ,       3.843
Pupil Center X [mm]    ,       0.066
Pupil Center Y [mm]    ,       0.051


*** ZERNIKE FIT ***
Zernike Orders Auto    ,       1
Zernike Orders         ,       10
Zernike Modes          ,       66
Unit                   ,       µm
Index  Order  Frequency  Coefficient
     2.550,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,
     2.400,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,
     2.250,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,
     2.100,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,
     1.950,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,
     1.800,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,    -1.927,    -1.522,    -1.343,    -1.179,    -1.093,    -1.052,    -0.994,    -1.021,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,
     1.650,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,    -1.497,    -1.212,    -1.067,    -1.021,    -0.934,    -0.881,    -0.849,    -0.819,    -0.833,    -0.861,    -0.906,    -1.082,    -1.455,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,
     1.500,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,    -1.345,    -1.179,    -1.011,    -0.834,    -0.710,    -0.595,    -0.535,    -0.521,    -0.535,    -0.599,    -0.709,    -0.843,    -1.064,    -1.283,    -1.518,    -2.041,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,
     1.350,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,    -1.759,    -1.443,    -1.275,    -1.069,    -0.876,    -0.711,    -0.587,    -0.478,    -0.409,    -0.375,    -0.424,    -0.511,    -0.652,    -0.797,    -0.990,    -1.211,    -1.329,    -1.454,    -1.976,    -2.855,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,
     1.200,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,    -1.885,    -1.542,    -1.423,    -1.232,    -1.037,    -0.861,    -0.708,    -0.594,    -0.493,    -0.428,    -0.394,    -0.451,    -0.520,    -0.638,    -0.746,    -0.864,    -1.017,    -1.156,    -1.289,    -1.458,    -1.962,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,
